source,target,weight
H001077,L000564,3
D000032,H001077,3
H001077,W000816,4
H001077,M001218,1
C001126,H001077,2
H001077,L000585,3
F000474,H001077,2
D000594,H001077,3
H001077,K000388,3
C001132,H001077,3
C001129,H001077,3
H001077,S001224,3
H001077,M000194,3
D000615,P000605,11
D000615,H001086,10
D000615,G000578,7
C001118,D000615,8
D000615,G000576,5
C001120,D000615,6
D000615,H001091,4
D000615,F000469,4
D000615,E000071,3
D000615,S001196,3
D000615,F000471,5
D000615,M001211,7
D000615,H001067,7
D000615,G000577,3
D000615,S001212,6
B001291,D000615,5
D000615,G000589,3
D000615,V000133,3
D000615,G000596,4
C001103,D000615,8
D000615,J000304,8
D000615,L000589,10
D000615,O000175,8
D000615,M001199,7
B000825,D000615,9
D000615,V000134,4
D000615,N000190,12
D000615,R000103,5
D000615,G000595,9
D000615,L000596,5
D000615,T000165,5
B001306,D000615,6
D000615,R000612,4
D000615,J000302,5
D000615,H001082,6
D000615,Z000018,3
D000615,G000590,4
D000615,H001096,5
D000615,L000603,7
C001115,D000615,6
D000615,I000056,4
D000615,H001095,2
C001054,D000615,5
D000615,P000599,10
D000615,S001214,7
A000375,D000615,5
D000615,S000250,8
B001317,D000615,5
B001248,D000615,3
D000615,G000558,6
C001039,D000615,9
D000615,W000814,9
D000615,J000299,5
D000615,L000564,5
D000032,D000615,3
D000615,W000816,5
D000615,M001218,2
C001126,D000615,4
D000615,L000585,6
D000615,F000474,4
D000594,D000615,6
D000615,K000388,5
C001132,D000615,4
C001129,D000615,5
D000615,S001224,5
D000615,M000194,3
H001086,P000605,9
G000578,P000605,6
C001118,P000605,7
G000576,P000605,4
C001120,P000605,5
H001091,P000605,3
F000469,P000605,3
E000071,P000605,3
P000605,S001196,3
F000471,P000605,3
M001211,P000605,5
H001067,P000605,5
G000577,P000605,2
P000605,S001212,6
B001291,P000605,4
G000589,P000605,3
P000605,V000133,3
G000596,P000605,4
C001103,P000605,8
J000304,P000605,6
L000589,P000605,7
O000175,P000605,6
M001199,P000605,5
B000825,P000605,6
P000605,V000134,4
N000190,P000605,11
P000605,R000103,5
G000595,P000605,6
L000596,P000605,5
P000605,T000165,4
B001306,P000605,6
P000605,R000612,3
J000302,P000605,4
H001082,P000605,6
P000605,Z000018,3
G000590,P000605,4
H001096,P000605,4
L000603,P000605,6
C001115,P000605,6
I000056,P000605,4
H001095,P000605,2
C001054,P000605,4
P000599,P000605,8
P000605,S001214,6
A000375,P000605,4
P000605,S000250,6
B001317,P000605,5
B001248,P000605,3
G000558,P000605,5
C001039,P000605,8
P000605,W000814,7
J000299,P000605,4
L000564,P000605,4
D000032,P000605,3
P000605,W000816,4
M001218,P000605,1
C001126,P000605,4
L000585,P000605,4
F000474,P000605,3
D000594,P000605,5
K000388,P000605,4
C001132,P000605,3
C001129,P000605,5
P000605,S001224,4
M000194,P000605,3
G000578,H001086,5
C001118,H001086,8
G000576,H001086,5
C001120,H001086,6
H001086,H001091,3
F000469,H001086,4
E000071,H001086,3
H001086,S001196,3
F000471,H001086,4
H001086,M001211,6
H001067,H001086,7
G000577,H001086,4
H001086,S001212,5
B001291,H001086,4
G000589,H001086,4
H001086,V000133,3
G000596,H001086,3
C001103,H001086,8
H001086,J000304,6
H001086,L000589,7
H001086,O000175,7
H001086,M001199,6
B000825,H001086,6
H001086,V000134,5
H001086,N000190,10
H001086,R000103,5
G000595,H001086,6
H001086,L000596,6
H001086,T000165,5
B001306,H001086,5
H001086,R000612,5
H001086,J000302,5
H001082,H001086,7
H001086,Z000018,3
G000590,H001086,4
H001086,H001096,4
H001086,L000603,6
C001115,H001086,6
H001086,I000056,4
H001086,H001095,2
C001054,H001086,4
H001086,P000599,9
H001086,S001214,5
A000375,H001086,5
H001086,S000250,8
B001317,H001086,5
B001248,H001086,3
G000558,H001086,7
C001039,H001086,8
H001086,W000814,8
H001086,J000299,5
H001086,L000564,5
D000032,H001086,2
H001086,W000816,6
H001086,M001218,1
C001126,H001086,4
H001086,L000585,6
F000474,H001086,3
D000594,H001086,6
H001086,K000388,5
C001132,H001086,4
C001129,H001086,4
H001086,S001224,5
H001086,M000194,4
C001118,G000578,5
G000576,G000578,3
C001120,G000578,4
G000578,H001091,3
F000469,G000578,3
E000071,G000578,2
G000578,S001196,2
F000471,G000578,3
G000578,M001211,5
G000578,H001067,4
G000577,G000578,1
G000578,S001212,4
B001291,G000578,2
G000578,G000589,2
G000578,V000133,2
G000578,G000596,3
C001103,G000578,5
G000578,J000304,3
G000578,L000589,4
G000578,O000175,3
G000578,M001199,5
B000825,G000578,5
G000578,V000134,2
G000578,N000190,6
G000578,R000103,6
G000578,G000595,7
G000578,L000596,3
G000578,T000165,3
B001306,G000578,3
G000578,R000612,2
G000578,J000302,2
G000578,H001082,4
G000578,Z000018,2
G000578,G000590,3
G000578,H001096,4
G000578,L000603,5
C001115,G000578,4
G000578,I000056,3
G000578,H001095,2
C001054,G000578,3
G000578,P000599,5
G000578,S001214,4
A000375,G000578,3
G000578,S000250,5
B001317,G000578,3
B001248,G000578,2
G000558,G000578,3
C001039,G000578,6
G000578,W000814,5
G000578,J000299,3
G000578,L000564,3
D000032,G000578,3
G000578,W000816,2
G000578,M001218,2
C001126,G000578,2
G000578,L000585,3
F000474,G000578,3
D000594,G000578,4
G000578,K000388,1
